ini,end,wsize,mid_win,id
1,6251,6250,3126,1
3751,13751,10000,8751,2
11251,21251,10000,16251,3
18751,28751,10000,23751,4
26251,36251,10000,31251,5
33751,43751,10000,38751,6
41251,51251,10000,46251,7
48751,58751,10000,53751,8
56251,66251,10000,61251,9
63751,73751,10000,68751,10
71251,81251,10000,76251,11
78751,88751,10000,83751,12
86251,96251,10000,91251,13
93751,103751,10000,98751,14
101251,111251,10000,106251,15
108751,118751,10000,113751,16
116251,126251,10000,121251,17
123751,133751,10000,128751,18
131251,141251,10000,136251,19
138751,148751,10000,143751,20
146251,156251,10000,151251,21
153751,163751,10000,158751,22
161251,171251,10000,166251,23
168751,178751,10000,173751,24
176251,186251,10000,181251,25
183751,193751,10000,188751,26
191251,201251,10000,196251,27
198751,208751,10000,203751,28
206251,216251,10000,211251,29
213751,223751,10000,218751,30
221251,231251,10000,226251,31
228751,238751,10000,233751,32
236251,246251,10000,241251,33
243751,253751,10000,248751,34
251251,261251,10000,256251,35
258751,268751,10000,263751,36
266251,276251,10000,271251,37
273751,283751,10000,278751,38
281251,291251,10000,286251,39
288751,298751,10000,293751,40
296251,306251,10000,301251,41
303751,313751,10000,308751,42
311251,321251,10000,316251,43
318751,328751,10000,323751,44
326251,336251,10000,331251,45
333751,343751,10000,338751,46
341251,351251,10000,346251,47
348751,358751,10000,353751,48
356251,366251,10000,361251,49
363751,373751,10000,368751,50
371251,381251,10000,376251,51
378751,388751,10000,383751,52
386251,396251,10000,391251,53
393751,403751,10000,398751,54
401251,411251,10000,406251,55
408751,418751,10000,413751,56
416251,426251,10000,421251,57
423751,433751,10000,428751,58
431251,441251,10000,436251,59
438751,448751,10000,443751,60
446251,456251,10000,451251,61
453751,463751,10000,458751,62
461251,471251,10000,466251,63
468751,478751,10000,473751,64
476251,486251,10000,481251,65
483751,493751,10000,488751,66
491251,501251,10000,496251,67
498751,508751,10000,503751,68
506251,516251,10000,511251,69
513751,523751,10000,518751,70
521251,531251,10000,526251,71
528751,538751,10000,533751,72
536251,546251,10000,541251,73
543751,553751,10000,548751,74
551251,561251,10000,556251,75
558751,568751,10000,563751,76
566251,576251,10000,571251,77
573751,583751,10000,578751,78
581251,591251,10000,586251,79
588751,598751,10000,593751,80
596251,606251,10000,601251,81
603751,613751,10000,608751,82
611251,621251,10000,616251,83
618751,628751,10000,623751,84
626251,636251,10000,631251,85
633751,643751,10000,638751,86
641251,651251,10000,646251,87
648751,658751,10000,653751,88
656251,666251,10000,661251,89
663751,673751,10000,668751,90
671251,681251,10000,676251,91
678751,688751,10000,683751,92
686251,696251,10000,691251,93
693751,703751,10000,698751,94
701251,711251,10000,706251,95
708751,718751,10000,713751,96
716251,726251,10000,721251,97
723751,733751,10000,728751,98
731251,741251,10000,736251,99
738751,748751,10000,743751,100
746251,756251,10000,751251,101
753751,763751,10000,758751,102
761251,771251,10000,766251,103
768751,778751,10000,773751,104
776251,786251,10000,781251,105
783751,793751,10000,788751,106
791251,801251,10000,796251,107
798751,808751,10000,803751,108
806251,816251,10000,811251,109
813751,823751,10000,818751,110
821251,831251,10000,826251,111
828751,838751,10000,833751,112
836251,846251,10000,841251,113
843751,853751,10000,848751,114
851251,861251,10000,856251,115
858751,868751,10000,863751,116
866251,876251,10000,871251,117
873751,883751,10000,878751,118
881251,891251,10000,886251,119
888751,898751,10000,893751,120
896251,906251,10000,901251,121
903751,913751,10000,908751,122
911251,921251,10000,916251,123
918751,928751,10000,923751,124
926251,936251,10000,931251,125
933751,943751,10000,938751,126
941251,951251,10000,946251,127
948751,958751,10000,953751,128
956251,966251,10000,961251,129
963751,973751,10000,968751,130
971251,981251,10000,976251,131
978751,988751,10000,983751,132
986251,996251,10000,991251,133
993751,1003751,10000,998751,134
1001251,1011251,10000,1006251,135
1008751,1018751,10000,1013751,136
1016251,1026251,10000,1021251,137
1023751,1033751,10000,1028751,138
1031251,1041251,10000,1036251,139
1038751,1048751,10000,1043751,140
1046251,1056251,10000,1051251,141
1053751,1063751,10000,1058751,142
1061251,1071251,10000,1066251,143
